"-", "Mon Apr 06 22:22:32 PDT 2009", "CiaraRenee", "I need a hug "
"-", "Mon Apr 06 22:30:55 PDT 2009", "erks", "is alone downstairs...working "
"-", "Mon Apr 06 22:32:35 PDT 2009", "Karmatical", "@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
"-", "Mon Apr 06 22:35:43 PDT 2009", "sarahdesjardins", "SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED "
"-", "Mon Apr 06 22:37:04 PDT 2009", "latoyanlegania", "Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick "
"+", "Tue Jun 16 08:28:48 PDT 2009", "chel1975", "@Disney_Dreaming Mitchel it is "
"+", "Tue Jun 16 08:28:48 PDT 2009", "deesiree", "SUMMEEEEEEER!    Lines, Vines &amp; Trying times is mine since last Friday "
"+", "Tue Jun 16 08:34:46 PDT 2009", "jacodenn", "@_Deeders_ I hope it all goes well for you at the Dr. today "
"+", "Tue Jun 16 08:38:42 PDT 2009", "misscaroline16", "scrubbed into surgery today "
"+", "Tue Jun 16 08:38:44 PDT 2009", "MandyStocker", "dropping molly off getting ice cream with Aaron I want him to meet Manda  spending the night with Meredith and Lauren I missed them dearly"
